Cde;Dt;Livraison;Client ID;Produit ID;Qty;Rabais;Mode Livraison
CA-2022-161480;25/12/2022;31/12/2022;RA-19285;FUR-BO-10004015;2;20 %;Standard Class
CA-2022-109715;09/12/2022;14/12/2022;AH-10585;OFF-PA-10004965;2;20 %;Standard Class
CA-2022-152660;04/12/2022;10/12/2022;CB-12415;OFF-ST-10000532;2;20 %;Standard Class
CA-2022-138618;01/12/2022;05/12/2022;MY-17380;OFF-PA-10000520;2;20 %;Standard Class
CA-2022-102267;30/11/2022;04/12/2022;SC-20800;OFF-FA-10000611;2;20 %;Standard Class
CA-2022-108035;29/11/2022;04/12/2022;TT-21070;FUR-CH-10000454;2;20 %;Standard Class
CA-2022-148992;23/11/2022;27/11/2022;CS-12250;OFF-PA-10004285;2;20 %;Standard Class
CA-2022-103499;20/11/2022;26/11/2022;ES-14020;FUR-CH-10001482;2;20 %;Standard Class
CA-2022-118122;17/11/2022;22/11/2022;GG-14650;OFF-BI-10002103;2;20 %;Standard Class
CA-2022-106943;14/11/2022;18/11/2022;FO-14305;OFF-BI-10003669;2;20 %;Standard Class
CA-2022-152142;14/11/2022;18/11/2022;LW-16990;FUR-CH-10002965;2;20 %;Standard Class
CA-2022-122644;12/11/2022;18/11/2022;SF-20965;OFF-PA-10003673;2;20 %;Standard Class
CA-2022-143455;11/11/2022;15/11/2022;ML-17755;OFF-PA-10004451;2;20 %;Standard Class
CA-2022-137624;10/11/2022;14/11/2022;ME-17320;FUR-CH-10001714;2;20 %;Standard Class
CA-2022-150504;06/11/2022;11/11/2022;HG-14845;OFF-ST-10000615;2;20 %;Standard Class
US-2022-156083;04/11/2022;08/11/2022;JL-15175;OFF-PA-10001560;2;20 %;Standard Class
CA-2022-105144;04/11/2022;09/11/2022;SZ-20035;OFF-LA-10003923;2;20 %;Standard Class
CA-2022-100622;03/11/2022;08/11/2022;DK-13090;TEC-CO-10003236;2;20 %;Standard Class
CA-2022-161130;03/11/2022;08/11/2022;BF-11275;TEC-PH-10002549;2;20 %;Standard Class
CA-2022-131632;31/10/2022;05/11/2022;AH-10120;OFF-AR-10003651;2;20 %;Standard Class
CA-2022-127922;27/10/2022;31/10/2022;SH-19975;OFF-EN-10003068;2;20 %;Standard Class
