Prod ID;Produit;Prix Unitaire;Coût;Cat;Sous Cat
OFF-PA-10000007;"Telephone Message Books with Fax/Mobile Section. 4 1/4"" x 6""";3.6;1.9;Office Supplies;Paper
OFF-PA-10000019;Xerox 1931;6.48;3.4;Office Supplies;Paper
OFF-PA-10000029;Xerox 224;6.48;3.4;Office Supplies;Paper
OFF-PA-10000048;Xerox 20;6.48;3.4;Office Supplies;Paper
OFF-PA-10000061;Xerox 205;6.48;3.4;Office Supplies;Paper
OFF-PA-10000062;Green Bar Computer Printout Paper;54.96;28;Office Supplies;Paper
OFF-PA-10000069;TOPS 4 x 6 Fluorescent Color Memo Sheets. 500 Sheets per Pack;9.49;5;Office Supplies;Paper
OFF-PA-10000100;Xerox 1945;40.99;20.9;Office Supplies;Paper
OFF-PA-10000130;Xerox 199;4.28;2.4;Office Supplies;Paper
OFF-PA-10000141;"Ampad Evidence Wirebond Steno Books. 6"" x 9""";2.18;1.2;Office Supplies;Paper
OFF-PA-10000143;Astroparche Fine Business Paper;5.28;2.7;Office Supplies;Paper
OFF-PA-10000157;Xerox 191;19.98;10.6;Office Supplies;Paper
OFF-PA-10000167;Xerox 1925;30.98;17;Office Supplies;Paper
OFF-PA-10000174;"Message Book. Wirebound. Four 5 1/2"" X 4"" Forms/Pg.. 200 Dupl. Sets/Book";10.28;5.4;Office Supplies;Paper
OFF-PA-10000176;Xerox 1887;18.97;9.9;Office Supplies;Paper
OFF-PA-10000210;Xerox Blank Computer Paper;19.98;10.6;Office Supplies;Paper
OFF-PA-10000213;Xerox 198;4.98;2.6;Office Supplies;Paper
OFF-PA-10000223;Xerox 2000;6.48;3.4;Office Supplies;Paper
OFF-PA-10000232;Xerox 1975;6.48;3.3;Office Supplies;Paper
OFF-PA-10000241;"IBM Multi-Purpose Copy Paper. 8 1/2 x 11"". Case";30.98;17;Office Supplies;Paper
OFF-PA-10000246;Riverleaf Stik-Withit Designer Note Cubes;10.06;5.4;Office Supplies;Paper
OFF-PA-10000249;Easy-staple paper;12.28;6.5;Office Supplies;Paper
OFF-PA-10000289;Xerox 213;6.48;3.4;Office Supplies;Paper
OFF-PA-10000295;Xerox 229;6.48;3.4;Office Supplies;Paper
OFF-PA-10000300;Xerox 1936;19.98;10.6;Office Supplies;Paper
OFF-PA-10000304;Xerox 1995;6.48;3.4;Office Supplies;Paper
OFF-PA-10000308;Xerox 1901;5.28;2.9;Office Supplies;Paper
OFF-PA-10000312;Xerox 1955;22.84;12.3;Office Supplies;Paper
OFF-PA-10000327;Xerox 1971;4.28;2.4;Office Supplies;Paper
OFF-PA-10000349;Easy-staple paper;4.98;2.6;Office Supplies;Paper
OFF-PA-10000350;"Message Book. Standard Line ""While You Were Out"". 5 1/2"" X 4"". 200 Sets/Book";8.56;4.5;Office Supplies;Paper
OFF-PA-10000357;White Dual Perf Computer Printout Paper. 2700 Sheets. 1 Part. Heavyweight. 20 lbs.. 14 7/8 x 11;40.99;20.9;Office Supplies;Paper
OFF-PA-10000380;"REDIFORM Incoming/Outgoing Call Register. 11"" X 8 1/2"". 100 Messages";8.34;4.2;Office Supplies;Paper
OFF-PA-10000418;Xerox 189;104.85;54.5;Office Supplies;Paper
OFF-PA-10000466;Memo Book. 100 Message Capacity. 5 3/8” x 11”;6.74;3.4;Office Supplies;Paper
OFF-PA-10000474;Easy-staple paper;35.44;18.8;Office Supplies;Paper
OFF-PA-10000477;Xerox 1952;4.98;2.6;Office Supplies;Paper
OFF-PA-10000482;Snap-A-Way Black Print Carbonless Ruled Speed Letter. Triplicate;37.94;20.1;Office Supplies;Paper
OFF-PA-10000483;Xerox 19;30.98;17;Office Supplies;Paper
OFF-PA-10000501;Petty Cash Envelope;26.96;13.7;Office Supplies;Paper
OFF-PA-10000520;Xerox 201;6.48;3.4;Office Supplies;Paper
OFF-PA-10000528;Xerox 1981;5.28;2.9;Office Supplies;Paper
OFF-PA-10000533;Southworth Parchment Paper & Envelopes;6.54;3.5;Office Supplies;Paper
OFF-PA-10000551;Array Memo Cubes;5.18;2.6;Office Supplies;Paper
OFF-PA-10000552;Xerox 200;6.48;3.4;Office Supplies;Paper
OFF-PA-10000556;Xerox 208;6.48;3.4;Office Supplies;Paper
OFF-PA-10000565;Easy-staple paper;55.98;28.5;Office Supplies;Paper
OFF-PA-10000575;Wirebound Message Books. Four 2 3/4 x 5 White Forms per Page;6.69;3.6;Office Supplies;Paper
OFF-PA-10000587;Array Parchment Paper. Assorted Colors;7.28;3.8;Office Supplies;Paper
OFF-PA-10000595;Xerox 1929;22.84;12.3;Office Supplies;Paper
OFF-PA-10000605;Xerox 1950;5.78;2.9;Office Supplies;Paper
OFF-PA-10000659;Adams Phone Message Book. Professional. 400 Message Capacity. 5 3/6” x 11”;6.98;3.7;Office Supplies;Paper
OFF-PA-10000673;Post-it “Important Message” Note Pad. Neon Colors. 50 Sheets/Pad;7.28;3.8;Office Supplies;Paper
OFF-PA-10000675;Xerox 1919;40.99;20.9;Office Supplies;Paper
OFF-PA-10000682;Xerox 1924;5.78;2.9;Office Supplies;Paper
OFF-PA-10000697;TOPS Voice Message Log Book. Flash Format;4.76;2.4;Office Supplies;Paper
OFF-PA-10000726;"Black Print Carbonless Snap-Off Rapid Letter. 8 1/2"" x 7""";9.11;5;Office Supplies;Paper
OFF-PA-10000740;Xerox 1982;22.84;12.3;Office Supplies;Paper
OFF-PA-10000743;Xerox 1977;6.68;3.5;Office Supplies;Paper
OFF-PA-10000788;Xerox 210;6.48;3.4;Office Supplies;Paper
OFF-PA-10000791;Wirebound Message Books. Four 2 3/4 x 5 Forms per Page. 200 Sets per Book;4.77;2.6;Office Supplies;Paper
OFF-PA-10000806;Xerox 1934;55.98;28.5;Office Supplies;Paper
OFF-PA-10000807;"TOPS ""Important Message"" Pads. Canary. 4-1/4 x 5-1/2. 50 Sheets per Pad";4.28;2.3;Office Supplies;Paper
OFF-PA-10000809;Xerox 206;6.48;3.4;Office Supplies;Paper
OFF-PA-10000859;Unpadded Memo Slips;3.98;2;Office Supplies;Paper
OFF-PA-10000919;Xerox 1918;38.76;19.8;Office Supplies;Paper
